time,gsr
830.0,26599.56088049559
831.0,26966.914980717294
832.0,27366.42910478312
833.0,27642.65417110827
834.0,27862.20947860654
835.0,28062.249566967195
836.0,28273.046745817934
837.0,28372.771557785258
838.0,28515.20382842908
839.0,28614.86277282872
840.0,28570.69629744142
841.0,28549.957982038282
842.0,28547.807130245357
843.0,28660.44495344825
844.0,28760.150338951324
845.0,28786.463175462093
846.0,28604.147812361447
847.0,28451.803991579556
848.0,28397.70403181953
849.0,28371.453385091983
850.0,28211.01348424641
851.0,27879.79438184204
852.0,27570.196282016233
853.0,27422.224712235504
854.0,27193.46950946138
855.0,26818.333495642284
856.0,26475.292905296734
857.0,26216.739086695507
858.0,25725.93975567568
859.0,25337.105057969064
860.0,25214.068288255097
861.0,25332.327727519078
862.0,25667.577073314067
863.0,25698.2306379887
864.0,25272.396676560267
865.0,25057.084415029327
866.0,25264.744911200425
867.0,25643.338572508612
868.0,26007.13637341796
869.0,26353.58512595012
870.0,26634.437798748513
871.0,26895.058591999503
872.0,27052.23900029056
873.0,27222.64410694793
874.0,27279.893852565558
875.0,27445.935067300325
876.0,27584.91652995185
877.0,27688.278346754836
878.0,27268.578470528133
879.0,26845.10173221805
880.0,26703.44586329085
881.0,26789.780994595105
882.0,27002.18040085145
883.0,27172.41834086505
884.0,27313.593827410878
885.0,27457.630028091655
886.0,27541.9925401322
887.0,27614.984929744587
888.0,27664.1259586597
889.0,27799.51828710553
890.0,27899.85141795028
891.0,28015.50340303968
892.0,28118.24974129526
893.0,28246.266417348706
894.0,28351.479018887272
895.0,28406.55620981939
896.0,28470.646152957175
897.0,28537.940542673692
898.0,28574.478698114443
899.0,28618.372788981244
900.0,28617.48495216889
901.0,28637.6111940993
902.0,28629.079339506894
903.0,28743.847435985022
904.0,28775.319623209398
905.0,28855.956237475835
906.0,28964.113393727337
907.0,29115.722547272708
908.0,29174.244468821085
909.0,29239.042159488403
910.0,29277.578782060067
911.0,29213.29012287692
912.0,29081.668155385247
913.0,29003.326822053634
914.0,28934.88803259804
915.0,28957.031078928878
916.0,29061.275261716415
917.0,29138.705044637172
918.0,29251.80646380188
919.0,29318.793704299587
920.0,29341.208459327536
921.0,29357.661810546786
922.0,29367.03131362542
923.0,29304.152771795583
924.0,29330.989425404463
925.0,29287.798645138493
926.0,29277.370835710204
927.0,29313.999244641836
928.0,29336.083963326822
929.0,29404.51436373347
930.0,29447.96740899769
931.0,29225.42274429755
932.0,28894.683503469452
933.0,28430.00679058363
934.0,27356.022188828007
935.0,26206.62749169076
936.0,25358.884304341387
937.0,25003.12855658095
938.0,25078.120746786615
939.0,25125.348096787202
940.0,25254.249122578593
941.0,25077.10622459173
942.0,24805.781585844037
943.0,24215.69128398389
944.0,23736.026773174643
945.0,23761.20644494307
946.0,24048.1420505433
947.0,24343.502156513823
948.0,24550.952039161348
